epoch,accuracy,learning_rate,loss,val_accuracy,val_loss
0,0.6281362175941467,9.999999747378752e-06,1.4411890506744385,0.6276881694793701,1.3564627170562744
1,0.6258960366249084,9.999999747378752e-06,1.3613194227218628,0.6451612710952759,1.278053879737854
2,0.6384408473968506,9.999999747378752e-06,1.3016351461410522,0.6586021780967712,1.2179169654846191
3,0.6460573673248291,9.999999747378752e-06,1.2467552423477173,0.6666666865348816,1.1749714612960815
4,0.6514337062835693,9.999999747378752e-06,1.1942884922027588,0.6653226017951965,1.14011812210083
5,0.6599462628364563,9.999999747378752e-06,1.1577740907669067,0.6706989407539368,1.1065707206726074
6,0.6644265055656433,9.999999747378752e-06,1.1240994930267334,0.6787634491920471,1.0759631395339966
7,0.6698028445243835,9.999999747378752e-06,1.1027735471725464,0.6854838728904724,1.0498238801956177
8,0.685931921005249,9.999999747378752e-06,1.066986322402954,0.6948924660682678,1.0274933576583862
9,0.6769713163375854,9.999999747378752e-06,1.061676025390625,0.7110214829444885,0.9968479871749878
