epoch,accuracy,learning_rate,loss,val_accuracy,val_loss
0,0.43413978815078735,9.999999747378752e-06,1.942254662513733,0.6236559152603149,1.316946029663086
1,0.5349462628364563,9.999999747378752e-06,1.5254393815994263,0.7150537371635437,1.04590904712677
2,0.6303763389587402,9.999999747378752e-06,1.239132046699524,0.7365591526031494,0.9637885689735413
3,0.6684587597846985,9.999999747378752e-06,1.0491440296173096,0.7540322542190552,0.8550922274589539
4,0.7128136157989502,9.999999747378752e-06,0.894199550151825,0.7983871102333069,0.7024088501930237
5,0.7553763389587402,9.999999747378752e-06,0.7829973101615906,0.8373655676841736,0.5924692153930664
6,0.7688171863555908,9.999999747378752e-06,0.7150244116783142,0.8467742204666138,0.536125659942627
7,0.8266128897666931,9.999999747378752e-06,0.5424917936325073,0.8709677457809448,0.4808866083621979
8,0.8413978219032288,9.999999747378752e-06,0.5069065690040588,0.8817204236984253,0.43950915336608887
9,0.8579748868942261,9.999999747378752e-06,0.4587147831916809,0.8763440847396851,0.49251437187194824
