epoch,accuracy,learning_rate,loss,val_accuracy,val_loss
0,0.5676523447036743,9.999999747378752e-06,1.3750684261322021,0.5860214829444885,1.4001668691635132
1,0.6070788502693176,9.999999747378752e-06,1.231844186782837,0.5913978219032288,1.3502429723739624
2,0.6326164603233337,9.999999747378752e-06,1.1767518520355225,0.6088709831237793,1.3181438446044922
3,0.6406810283660889,9.999999747378752e-06,1.1118286848068237,0.6276881694793701,1.278029203414917
4,0.6657705903053284,9.999999747378752e-06,1.086541771888733,0.6357526779174805,1.2169321775436401
5,0.6863799095153809,9.999999747378752e-06,1.008040189743042,0.6370967626571655,1.2025526762008667
6,0.6850358247756958,9.999999747378752e-06,0.9719628691673279,0.6357526779174805,1.2192704677581787
7,0.7155017852783203,9.999999747378752e-06,0.9405356645584106,0.6545698642730713,1.1458555459976196
8,0.7065412402153015,9.999999747378752e-06,0.9176623821258545,0.6626344323158264,1.1077148914337158
9,0.717293918132782,9.999999747378752e-06,0.8858452439308167,0.6706989407539368,1.0733530521392822
